target_class,mammalian_homolog,vina_gene,anesthetic,vina_affinity_kcal_per_mol,predicted_Kd_uM,experimental_value_uM,experimental_value_type,fold_error,log_error,anchor_PMID
gaba_potentiation,GABA-A_α1β2γ2,GABRA1,halothane,-3.5,2711.3814706583335,250.0,EC50_potentiation,10.845525882633334,1.03525061512279,9311785
gaba_potentiation,GABA-A_α1β2γ2,GABRA1,isoflurane,-4.4,593.1355124352399,260.0,EC50_potentiation,2.2812904324432304,0.35818057908553635,9311785
gaba_potentiation,GABA-A_α1β2γ2,GABRA1,sevoflurane,-4.6,423.13515167489896,210.0,EC50_potentiation,2.014929293689995,0.3042598108249974,10454514
gaba_potentiation,GABA-A_α1β2γ2,GABRA1,propofol,-5.7,66.03399725213406,1.5,EC50_potentiation,44.022664834756036,1.6436763282673237,10454514
gaba_potentiation,GABA-A_α1β2γ2,GABRA1,etomidate,-5.9,47.107793846743014,2.0,EC50_potentiation,23.553896923371507,1.3720627701615853,9298537
gaba_potentiation,GABA-A_α1β2γ2,GABRA1,ketamine,-5.9,47.107793846743014,1000.0,EC50_potentiation,21.22790982853762,-1.3269072341744335,12435831
glucl_potentiation,GlyR_α1,GLRA1,halothane,-3.7,1934.2642377373834,250.0,EC50_potentiation,7.737056950949533,0.8885757936253516,8794881
glucl_potentiation,GlyR_α1,GLRA1,isoflurane,-4.2,831.4358538146606,250.0,EC50_potentiation,3.3257434152586423,0.5218887398817555,8794881
glucl_potentiation,GlyR_α1,GLRA1,sevoflurane,-4.5,500.9755333527319,200.0,EC50_potentiation,2.5048776667636594,0.3987865206436543,10049144
glucl_potentiation,GlyR_α1,GLRA1,propofol,-5.8,55.77379249638607,30.0,EC50_potentiation,1.8591264165462025,0.26930892185462385,9422816
glucl_potentiation,GlyR_α1,GLRA1,etomidate,-5.7,66.03399725213406,5.0,EC50_potentiation,13.20679945042681,1.1207975829869863,9422816
glucl_potentiation,GlyR_α1,GLRA1,ketamine,-5.5,92.56406290816626,1500.0,EC50_potentiation,16.20499309206171,-1.2096488502352378,9788775
nachr_antagonism,nAChR_α4β2,CHRNA4,halothane,-4.5,500.9755333527319,130.0,IC50_block,3.853657948867168,0.5858731640007986,8633440
nachr_antagonism,nAChR_α4β2,CHRNA4,isoflurane,-5.0,215.34235715417063,170.0,IC50_block,1.2667197479657095,0.10268054118576497,8531442
nachr_antagonism,nAChR_α4β2,CHRNA4,sevoflurane,-5.1,181.8829760939729,80.0,IC50_block,2.273537201174661,0.35670206482337696,10195537
nachr_antagonism,nAChR_α4β2,CHRNA4,propofol,-5.8,55.77379249638607,90.0,IC50_block,1.6136611116382602,-0.20781233286503853,9105234
nachr_antagonism,nAChR_α4β2,CHRNA4,etomidate,-5.4,109.59224399381259,300.0,IC50_block,2.7374199949490725,-0.43734143515050006,12068116
nachr_antagonism,nAChR_α4β2,CHRNA4,ketamine,-5.9,47.107793846743014,5.0,IC50_block,9.421558769348604,0.9741227614895477,10773888
k2p_potentiation,TREK-1_KCNK2,KCNK2,halothane,-4.3,702.2493369234252,700.0,EC50_activation,1.0032133384620359,0.001393297790817094,10321245
k2p_potentiation,TREK-1_KCNK2,KCNK2,isoflurane,-4.8,301.8591077911352,500.0,EC50_activation,1.6564019010682427,-0.21916572027454073,10321245
k2p_potentiation,TREK-1_KCNK2,KCNK2,sevoflurane,-5.3,129.75294694567444,400.0,EC50_activation,3.0827816201159104,-0.4889427610100805,17375043
complex_i_block,NDUFS2_ComplexI,NDUFS2,halothane,-4.2,831.4358538146606,500.0,IC50_inhibition,1.6628717076293211,0.2208587442177743,12411414
complex_i_block,NDUFS2_ComplexI,NDUFS2,isoflurane,-4.7,357.38942256263203,400.0,IC50_inhibition,1.1192273042996972,-0.04891829651776547,12411414
complex_i_block,NDUFS2_ComplexI,NDUFS2,sevoflurane,-4.6,423.13515167489896,500.0,IC50_inhibition,1.1816555491096552,-0.07249089877710224,12411414
